ID	log2Exp	log2FC
ASHGA5P000629	13.803	2.519
ASHGA5P000630	7.304	0.63
ASHGA5P000631	5.639	1.322
ASHGA5P000632	6.712	-1.513
ASHGA5P000633	5.501	0.854
ASHGA5P000634	6.68	-3.284
ASHGA5P000635	5.194	0.593
ASHGA5P000637	10.325	-2.973
ASHGA5P000638	4.622	-2.254
ASHGA5P000639	5.768	1.024
ASHGA5P000640	10.446	-2.042
ASHGA5P000641	3.471	-1.842
ASHGA5P000643	16.038	-2.655
ASHGA5P000644	12.384	-3.499
ASHGA5P000646	10.711	-1.158
ASHGA5P000648	11.377	-2.74
ASHGA5P000649	4.453	3.195
ASHGA5P000650	7.468	-2.478
ASHGA5P000651	6.15	0.375
ASHGA5P000653	6.223	-1.315
ASHGA5P000654	13.708	-0.935
ASHGA5P000655	8.321	-0.557
ASHGA5P000656	8.423	-1.785
ASHGA5P000657	7.175	-6.171
ASHGA5P000659	6.924	-0.595
ASHGA5P000660	7.522	-0.953
ASHGA5P000661	5.573	-0.635
ASHGA5P000662	9.68	-1.658
ASHGA5P000663	7.335	1.851
ASHGA5P000664	8.772	1.809
ASHGA5P000665	10.474	-2.325
ASHGA5P000666	5.333	-1.382
ASHGA5P000667	9.328	-3.655
ASHGA5P000668	5.349	-0.791
ASHGA5P000669	8.88	1.992
ASHGA5P000670	5.307	-0.864
ASHGA5P000672	5.433	0.528
ASHGA5P000674	8.766	-3.558
ASHGA5P000675	6.415	-1.105
ASHGA5P000677	6.514	0.486
ASHGA5P000678	14.322	-1.212
ASHGA5P000680	5.387	1.489
ASHGA5P000681	12.483	1.076
ASHGA5P000682	6.716	-0.701
ASHGA5P000683	9.756	-2.369
ASHGA5P000684	7.919	1.902
ASHGA5P000685	10.001	-1.481
ASHGA5P000686	8.616	-1.229
ASHGA5P000688	10.616	-1.122
ASHGA5P000689	7.021	-2.538
ASHGA5P000690	9.885	-1.128
ASHGA5P000691	2.903	0.867
ASHGA5P000693	5.82	0.782
ASHGA5P000696	4.647	0.836
ASHGA5P000697	5.942	-4.501
ASHGA5P000699	10.773	-0.903
ASHGA5P000700	12.026	0.797
ASHGA5P000702	6.106	-1.069
ASHGA5P000703	4.204	-3.3
ASHGA5P000704	6.857	-3.131
ASHGA5P000705	8.798	-1.802
ASHGA5P000706	4.972	1.463
ASHGA5P000711	4.222	-1.846
ASHGA5P000713	6.503	-2.16
ASHGA5P000714	8.666	-3.643
ASHGA5P000715	9.415	-3.854
ASHGA5P000716	4.99	-2.605
ASHGA5P000717	10.155	-0.533
ASHGA5P000718	10.656	0.771
ASHGA5P000722	7.544	1.483
ASHGA5P000727	5.84	-0.419
ASHGA5P000728	8.909	-0.706
ASHGA5P000729	10.27	-4.678
ASHGA5P000730	7.293	-2.25
ASHGA5P000731	9.085	0.594
ASHGA5P000732	7.588	-1.898
ASHGA5P000733	8.408	-0.88
ASHGA5P000736	11.456	-1.81
ASHGA5P000739	8.319	1.241
ASHGA5P000741	10.272	1.288
ASHGA5P000742	7.673	1.095
ASHGA5P000743	9.164	-2.634
ASHGA5P000744	8.417	-3.303
ASHGA5P000745	7.461	-3.176
ASHGA5P000749	4.013	2.985
ASHGA5P000750	8.269	0.636
ASHGA5P000754	4.182	-1.568
ASHGA5P000756	11.388	-6.595
ASHGA5P000759	6.153	1.22
ASHGA5P000760	5.244	0.448
ASHGA5P000761	8.907	-2.57
ASHGA5P000762	14.963	0.574
ASHGA5P000763	3.059	1.316
ASHGA5P000764	7.269	-3.52
ASHGA5P000766	6.811	1.641
ASHGA5P000767	9.519	-0.947
ASHGA5P000768	9.86	0.618
ASHGA5P000769	7.272	-3.113
ASHGA5P000770	5.517	-0.798
ASHGA5P000771	6.467	-2.62
ASHGA5P000772	11.401	0.725
ASHGA5P000773	3.131	1.279
ASHGA5P000774	5.272	0.478
ASHGA5P000776	4.329	-1.252
ASHGA5P000777	2.732	0.504
ASHGA5P000779	13.098	4.19
ASHGA5P000781	7.957	-0.611
ASHGA5P000782	6.393	-0.922
ASHGA5P000783	6.037	-0.75
ASHGA5P000785	8.461	-3.484
ASHGA5P000787	7.495	-0.444
ASHGA5P000791	9.966	-1.052
ASHGA5P000792	6.57	-0.525
ASHGA5P000793	5.286	1.236
ASHGA5P000794	5.977	-0.942
ASHGA5P000795	6.856	-3.488
ASHGA5P000796	9.636	-2.968
ASHGA5P000797	4.258	-2.412
ASHGA5P000801	7.345	0.534
ASHGA5P000803	3.153	-1.204
ASHGA5P000806	6.608	-1.497
ASHGA5P000807	9.113	-0.531
ASHGA5P000808	5.957	-1.385
ASHGA5P000809	9.662	2.335
ASHGA5P000811	9.312	-1.508
ASHGA5P000812	3.52	-1.94
ASHGA5P000813	8.785	0.604
ASHGA5P000814	8.106	-3.854
ASHGA5P000816	7.792	2.076
ASHGA5P000817	7.306	-1.611
ASHGA5P000818	10.789	-4.141
ASHGA5P000819	7.778	-1.617
ASHGA5P000820	8.774	-2.997
ASHGA5P000822	7.847	-2.769
ASHGA5P000823	7.242	1.455
ASHGA5P000824	9.807	-3.33
ASHGA5P000825	13.115	-1.084
ASHGA5P000827	13.074	0.892
ASHGA5P000828	7.035	-4.436
ASHGA5P000830	8.573	1.374
ASHGA5P000831	4.706	1.153
ASHGA5P000832	3.312	-1.519
ASHGA5P000833	7.75	1.045
ASHGA5P000834	9.946	-2.529
ASHGA5P000836	5.219	-4.113
ASHGA5P000838	3.819	-1.295
ASHGA5P000839	10.303	-1.384
ASHGA5P000840	10.096	-3.118
ASHGA5P000843	9.647	-3.837
ASHGA5P000845	11.274	-2.082
ASHGA5P000846	6.398	-2.339
ASHGA5P000849	7.263	0.458
ASHGA5P000854	8.249	-1.876
ASHGA5P000856	5.992	-4.182
ASHGA5P000858	15.603	-0.358
ASHGA5P000859	9.635	-0.79
ASHGA5P000861	9.346	-1.378
ASHGA5P000862	9.08	1.36
ASHGA5P000863	4.871	1.253
ASHGA5P000866	5.185	0.739
ASHGA5P000867	13.795	-0.723
ASHGA5P000868	12.018	-0.846
ASHGA5P000869	6.367	-1.862
ASHGA5P000870	2.994	-0.862
ASHGA5P000871	11.937	-0.662
ASHGA5P000872	8.35	0.878
ASHGA5P000873	7.507	-2.015
ASHGA5P000874	10.677	-0.581
ASHGA5P000875	5.195	4.361
ASHGA5P000876	8.879	-3.98
ASHGA5P000879	7.846	0.891
ASHGA5P000880	12.169	-1.539
ASHGA5P000883	11.819	1.237
ASHGA5P000884	6.51	1.214
ASHGA5P000886	5.507	1.881
ASHGA5P000887	13.625	3.909
ASHGA5P000888	8.304	-3.229
ASHGA5P000889	9.166	-0.608
ASHGA5P000890	7.777	-1.874
ASHGA5P000891	9.393	-1.413
ASHGA5P000892	12.589	0.619
ASHGA5P000893	5.838	-0.718
ASHGA5P000895	3.527	-1.641
ASHGA5P000896	16.229	-0.295
ASHGA5P000897	13.594	1.355
ASHGA5P000898	8.055	0.559
ASHGA5P000899	4.985	0.958
ASHGA5P000900	9.88	-1.589
ASHGA5P000901	10.692	0.419
ASHGA5P000903	5.387	-2.335
ASHGA5P000904	10.934	2.763
ASHGA5P000905	14.786	2.711
ASHGA5P000906	6.559	-2.163
ASHGA5P000908	4.513	-0.388
ASHGA5P000909	13.162	1.144
ASHGA5P000910	10.54	0.55
ASHGA5P000911	6.692	1.193
ASHGA5P000913	10.646	1.471
ASHGA5P000914	5.536	3.441
ASHGA5P000915	8.005	1.03
ASHGA5P000916	6.071	-1.471
ASHGA5P000917	8.813	1.377
ASHGA5P000919	5.164	1.055
ASHGA5P000920	4.71	-2.637
ASHGA5P000921	9.502	-0.79
ASHGA5P000922	11.07	-3.096
ASHGA5P000923	8.023	-1.663
ASHGA5P000925	5.222	0.816
ASHGA5P000927	13.896	0.782
ASHGA5P000928	8.92	1.173
ASHGA5P000931	8.54	-0.329
ASHGA5P000932	5.886	0.846
ASHGA5P000933	12.212	0.86
ASHGA5P000935	5.273	1.32
ASHGA5P000937	5.467	-1.291
ASHGA5P000939	7.561	-0.688
ASHGA5P000941	6.271	-2.348
ASHGA5P000942	9.566	-3.052
ASHGA5P000943	10.869	-1.435
ASHGA5P000944	8.922	0.572
ASHGA5P000945	11.211	-2.869
ASHGA5P000946	10.574	-2.165
ASHGA5P000947	6.2	-5.376
ASHGA5P000948	6.23	4.188
ASHGA5P000949	8.796	-4.094
ASHGA5P000950	9.756	-1.801
ASHGA5P000952	7.118	-5.923
ASHGA5P000953	7.691	-2.213
ASHGA5P000954	8.174	-1.886
ASHGA5P000955	13.305	-0.989
ASHGA5P000956	5.09	4.835
ASHGA5P000957	4.312	1.007
ASHGA5P000958	13.305	-0.948
ASHGA5P000959	9.232	0.435
ASHGA5P000960	9.472	0.746
ASHGA5P000961	5.736	-0.881
ASHGA5P000963	9.864	-2.125
ASHGA5P000964	7.156	-1.708
ASHGA5P000968	12.965	-1.906
ASHGA5P000970	14.045	-1.527
ASHGA5P000971	8.726	-1.261
ASHGA5P000972	7.088	0.63
ASHGA5P000974	7.987	-4.886
ASHGA5P000976	12.07	-2.47
ASHGA5P000977	11.375	0.412
ASHGA5P000978	6.151	-4.341
ASHGA5P000979	7.844	-2.476
ASHGA5P000980	9.061	-3.465
ASHGA5P000981	6.468	-5.049
ASHGA5P000983	10.052	2.928
ASHGA5P000984	7.321	-1.865
ASHGA5P000985	3.18	-1.253
ASHGA5P000986	4.898	0.613
ASHGA5P000988	8.863	1.563
ASHGA5P000989	12.177	-0.352
ASHGA5P000990	8.411	-1.345
ASHGA5P000991	6.968	-4.544
ASHGA5P000992	7.507	-3.626
ASHGA5P000993	9.402	1.677
ASHGA5P000994	10.691	-1.263
ASHGA5P000996	3.524	-1.934
ASHGA5P000998	9.528	0.946
ASHGA5P000999	7.04	0.476
ASHGA5P001001	7.535	0.63
ASHGA5P001006	5.753	0.902
ASHGA5P001007	4.726	-1.402
ASHGA5P001008	8.375	0.478
ASHGA5P001012	5.789	1.166
ASHGA5P001013	9.318	-1.461
ASHGA5P001014	10.205	-0.968
ASHGA5P001015	7.199	-3.043
ASHGA5P001017	9.088	-3.403
ASHGA5P001019	14.169	-0.927
ASHGA5P001021	12.007	-0.343
ASHGA5P001022	9.425	2.085
ASHGA5P001028	8.33	0.639
ASHGA5P001031	5.153	-2.953
ASHGA5P001032	3.188	-1.27
ASHGA5P001033	8.096	-1.52
ASHGA5P001034	4	1.271
ASHGA5P001035	5.841	-1.401
ASHGA5P001036	4.499	-2.146
ASHGA5P001038	3.23	-1.359
ASHGA5P001039	13.422	1.82
ASHGA5P001040	4.222	2.308
ASHGA5P001041	3.202	-1.3
ASHGA5P001042	6.455	0.743
ASHGA5P001043	4.213	-3.127
ASHGA5P001045	7.068	-1.382
ASHGA5P001046	10.99	-0.849
ASHGA5P001048	5.986	1.103
ASHGA5P001049	5.065	-1.991
ASHGA5P001050	3.939	-2.779
ASHGA5P001051	11.369	1.984
ASHGA5P001052	9.121	1.731
ASHGA5P001054	5.798	-0.975
ASHGA5P001055	6.173	1.582
ASHGA5P001059	9.008	2.091
ASHGA5P001060	8.771	1.086
ASHGA5P001064	9.906	3.651
ASHGA5P001065	7.552	1.629
ASHGA5P001066	6.407	0.945
ASHGA5P001067	9.238	-1.186
ASHGA5P001068	8.074	-1.816
ASHGA5P001069	4.704	0.477
ASHGA5P001071	4.585	-2.446
ASHGA5P001072	6.84	0.75
ASHGA5P001074	10.513	-0.859
ASHGA5P001075	12.644	1.65
ASHGA5P001078	4.821	1.219
ASHGA5P001080	4.239	-1.376
ASHGA5P001081	6.847	0.805
ASHGA5P001084	5.984	-3.801
ASHGA5P001086	2.912	1.019
ASHGA5P001088	8.775	0.421
ASHGA5P001089	8.051	-1.342
ASHGA5P001090	6.407	-1.847
ASHGA5P001091	9.064	-0.978
ASHGA5P001092	7.214	-3.135
ASHGA5P001094	7.916	0.959
ASHGA5P001095	6.587	-2.351
ASHGA5P001097	5.195	-2.816
ASHGA5P001098	4.319	-2.613
ASHGA5P001100	12.163	-1.008
ASHGA5P001101	3.286	-1.181
ASHGA5P001102	8.775	7.399
ASHGA5P001103	8.131	1.119
ASHGA5P001107	7.789	-0.373
ASHGA5P001108	10.043	-3.316
ASHGA5P001109	6.678	-2.487
ASHGA5P001111	7.738	-1.436
ASHGA5P001112	6.748	-2.595
ASHGA5P001113	11.002	-2.203
ASHGA5P001114	5.636	-4.517
ASHGA5P001116	4.095	-3.085
ASHGA5P001119	6.612	-3.502
ASHGA5P001120	11.78	-1.227
ASHGA5P001121	4.64	1.127
ASHGA5P001122	3.185	1.069
ASHGA5P001123	11.371	0.485
ASHGA5P001124	6.288	-3.477
ASHGA5P001125	2.905	0.968
ASHGA5P001126	7.676	-1.112
ASHGA5P001128	8	1.255
ASHGA5P001129	6.674	0.852
ASHGA5P001130	7.754	1.404
ASHGA5P001131	12.102	-3.235
ASHGA5P001133	6.611	-1.111
ASHGA5P001136	6.783	-2.347
ASHGA5P001137	9.846	1.142
ASHGA5P001139	9.094	1.845
ASHGA5P001140	7.941	1.832
ASHGA5P001141	5.398	-0.966
ASHGA5P001144	7.555	1.168
ASHGA5P001148	7.317	0.945
ASHGA5P001149	13.376	-0.554
ASHGA5P001150	14.197	1.242
ASHGA5P001152	5.971	-5.19
ASHGA5P001153	7.512	-2.11
ASHGA5P001155	5.729	-3.064
ASHGA5P001157	10.723	-1.623
ASHGA5P001160	6.582	-4.673
ASHGA5P001161	4.44	0.557
ASHGA5P001162	8.546	-2.134
ASHGA5P001164	10.628	-3.206
ASHGA5P001166	8.101	1.593
ASHGA5P001168	5.856	0.69
ASHGA5P001169	8.559	-1.169
ASHGA5P001170	6.289	1.261
ASHGA5P001171	10.182	-1.121
ASHGA5P001172	6.163	1.226
ASHGA5P001173	5.67	0.62
ASHGA5P001175	8.96	0.408
ASHGA5P001176	3.811	0.726
ASHGA5P001177	6.731	-0.752
ASHGA5P001179	7.108	-2.336
ASHGA5P001185	4.91	-1.363
ASHGA5P001187	9.678	1.06
ASHGA5P001189	5.14	1.427
ASHGA5P001191	4.35	-1.235
ASHGA5P001192	11.543	0.527
ASHGA5P001193	10.881	-1.561
ASHGA5P001194	4.768	-3.854
ASHGA5P001195	5.247	-3.54
ASHGA5P001197	7.108	-2.377
ASHGA5P001198	10.662	-1.034
ASHGA5P001200	6.536	-1.031
ASHGA5P001201	7.304	1.121
ASHGA5P001202	8.207	-1.249
ASHGA5P001205	4.399	-3.693
ASHGA5P001207	13.632	0.464
ASHGA5P001208	5.173	-3.793
ASHGA5P001209	7.66	-1.589
ASHGA5P001210	6.877	-4.856
ASHGA5P001211	3.173	-1.202
ASHGA5P001212	9.788	-0.676
ASHGA5P001213	4.567	-0.696
ASHGA5P001215	7.542	-2.738
ASHGA5P001216	4.881	-3.226
ASHGA5P001217	13.134	0.606
ASHGA5P001218	8.649	-1.72
ASHGA5P001220	6.376	7.343
ASHGA5P001221	6.832	-1.044
ASHGA5P001222	8.684	3.116
ASHGA5P001223	7.451	1.289
ASHGA5P001225	8.003	1.052
ASHGA5P001226	3.306	1.257
ASHGA5P001227	7.614	-1.486
ASHGA5P001228	11.251	-1.569
ASHGA5P001229	4.834	1.341
ASHGA5P001232	7.007	0.82
ASHGA5P001234	12.934	0.378
ASHGA5P001235	14.512	1.217
ASHGA5P001236	6.293	1.049
ASHGA5P001237	16.33	2.026
ASHGA5P001238	8.993	-1.131
ASHGA5P001239	6.229	-2.35
ASHGA5P001240	7.511	1.123
ASHGA5P001243	9.495	2.197
ASHGA5P001244	11.38	-1.643
ASHGA5P001245	11.06	-0.51
ASHGA5P001246	5.608	0.615
ASHGA5P001247	10.654	-1.762
ASHGA5P001248	5.16	1.59
ASHGA5P001249	8.972	-2.378
ASHGA5P001251	7.465	-0.614
ASHGA5P001253	6.587	-2.482
ASHGA5P001254	13.12	1.477
ASHGA5P001255	13.974	-1.271
ASHGA5P001256	10.74	-0.904
ASHGA5P001257	8.056	0.914
ASHGA5P001258	8.257	1.599
ASHGA5P001259	6.211	1.036
ASHGA5P001260	8.964	-3.748
ASHGA5P001261	11.438	1.331
ASHGA5P001262	10.273	-1.097
ASHGA5P001264	9.139	-0.41
ASHGA5P001265	5.498	-4.147
ASHGA5P001266	7.575	-1.243
ASHGA5P001267	6.81	1.065
ASHGA5P001268	13.425	-2.021
ASHGA5P001269	7.655	-2.356
ASHGA5P001270	9.613	-0.966
ASHGA5P001272	10.426	-1.521
ASHGA5P001273	6.165	-1.035
ASHGA5P001274	12.915	0.398
ASHGA5P001275	10.696	4.439
ASHGA5P001278	11.807	-0.798
ASHGA5P001279	5.596	-2.969
ASHGA5P001280	10.643	-0.651
ASHGA5P001283	7.721	-0.677
ASHGA5P001284	7.385	1.832
ASHGA5P001286	6.122	1.488
ASHGA5P001287	4.197	-1.609
ASHGA5P001288	12.185	1.329
ASHGA5P001289	13.316	1.459
ASHGA5P001291	2.778	0.763
ASHGA5P001292	7.199	-3.002
ASHGA5P001293	11.701	-2.102
