ID	log2Exp	log2FC
ASHGA5P000001	12.632	-0.678
ASHGA5P000003	7.721	2.508
ASHGA5P000007	4.99	0.679
ASHGA5P000009	9.84	0.731
ASHGA5P000013	3.078	-0.737
ASHGA5P000014	5.632	1.943
ASHGA5P000016	9.549	3.101
ASHGA5P000018	5.786	1.363
ASHGA5P000019	6.05	0.697
ASHGA5P000021	7.586	1.513
ASHGA5P000022	7.645	0.636
ASHGA5P000024	10.973	1.409
ASHGA5P000026	7.644	-0.999
ASHGA5P000027	6.231	1.791
ASHGA5P000029	14.619	-0.545
ASHGA5P000030	6.619	0.838
ASHGA5P000032	17.317	0.464
ASHGA5P000033	3.914	1.701
ASHGA5P000035	8.497	0.492
ASHGA5P000039	8.754	-1.143
ASHGA5P000043	2.994	1.004
ASHGA5P000045	5.898	1.612
ASHGA5P000046	8.461	1.238
ASHGA5P000047	6.662	-1.129
ASHGA5P000048	3.072	1.312
ASHGA5P000049	4.409	2.378
ASHGA5P000050	2.701	0.584
ASHGA5P000051	9.988	1.274
ASHGA5P000054	9.636	0.996
ASHGA5P000055	5.414	0.954
ASHGA5P000058	7.135	1.016
ASHGA5P000059	8.086	4.363
ASHGA5P000060	2.756	0.543
ASHGA5P000063	4.16	-1.015
ASHGA5P000066	9.362	6.449
ASHGA5P000070	2.851	0.908
ASHGA5P000072	5.301	-1.583
ASHGA5P000073	9.406	-0.999
ASHGA5P000075	12.567	-1.29
ASHGA5P000077	8.056	2.19
ASHGA5P000078	3.094	1.361
ASHGA5P000079	7.953	2.566
ASHGA5P000080	9.867	2.497
ASHGA5P000081	10.104	0.668
ASHGA5P000082	9.95	-0.551
ASHGA5P000083	4.255	1.198
ASHGA5P000085	11.955	0.621
ASHGA5P000087	6.635	-0.911
ASHGA5P000088	6.712	0.832
ASHGA5P000090	5.474	2.535
ASHGA5P000093	6.459	1.651
ASHGA5P000094	5.845	0.68
ASHGA5P000096	5.654	-1.083
ASHGA5P000098	9.378	-1.762
ASHGA5P000099	5.018	-0.751
ASHGA5P000100	8.886	-1.845
ASHGA5P000101	3.813	-2.518
ASHGA5P000105	10.46	2.155
ASHGA5P000107	3.067	1.333
ASHGA5P000108	2.98	-0.844
ASHGA5P000109	6.441	1.203
ASHGA5P000112	6.915	2.497
ASHGA5P000113	7.913	1.89
ASHGA5P000114	4.865	1.027
ASHGA5P000115	6.466	1.686
ASHGA5P000118	2.673	0.378
ASHGA5P000124	7.353	0.709
ASHGA5P000127	4.372	2.114
ASHGA5P000129	2.873	0.61
ASHGA5P000130	8.15	0.482
ASHGA5P000133	2.859	0.44
ASHGA5P000134	6.274	0.74
ASHGA5P000135	8.251	-0.502
ASHGA5P000139	3.366	-0.77
ASHGA5P000140	6.689	1.877
ASHGA5P000142	3.159	1.522
ASHGA5P000145	2.713	0.606
ASHGA5P000148	7.198	1.327
ASHGA5P000149	4.42	-2.336
ASHGA5P000151	7.117	0.641
ASHGA5P000152	3.048	1.296
ASHGA5P000153	3.531	-1.954
ASHGA5P000156	2.716	0.63
ASHGA5P000160	8.894	0.743
ASHGA5P000166	9.192	0.963
ASHGA5P000167	7.359	-1.418
ASHGA5P000171	9.746	0.774
ASHGA5P000172	5.082	1.606
ASHGA5P000173	2.716	0.639
ASHGA5P000175	3.51	-0.793
ASHGA5P000176	7.502	1.225
ASHGA5P000183	5.61	1.673
ASHGA5P000184	6.458	0.896
ASHGA5P000187	8.323	0.93
ASHGA5P000190	3.244	1.468
ASHGA5P000192	2.769	0.597
ASHGA5P000194	2.78	0.668
ASHGA5P000196	3.727	-2.014
ASHGA5P000200	7.276	0.4
ASHGA5P000203	3.041	1.242
ASHGA5P000205	8.421	1.134
ASHGA5P000207	6.408	0.584
ASHGA5P000209	3.102	-1.089
ASHGA5P000210	3.046	1.269
ASHGA5P000211	2.821	0.705
ASHGA5P000212	3.327	-0.777
ASHGA5P000213	9.315	1.145
ASHGA5P000215	3.086	-1.045
ASHGA5P000216	12.642	-1.126
ASHGA5P000217	8.157	0.636
ASHGA5P000218	9.685	1.691
ASHGA5P000220	4.924	0.64
ASHGA5P000222	2.893	0.855
ASHGA5P000227	9.489	1.795
ASHGA5P000228	3.129	1.06
ASHGA5P000230	7.824	1.086
ASHGA5P000232	10.833	1.336
ASHGA5P000233	3.939	-1.136
ASHGA5P000234	7.03	0.656
ASHGA5P000237	5.499	1.161
ASHGA5P000238	5.765	-0.681
ASHGA5P000239	3.3	-1.42
ASHGA5P000240	5.801	0.681
ASHGA5P000243	7.022	0.402
ASHGA5P000244	4.306	-2.315
ASHGA5P000247	3.1	1.091
ASHGA5P000248	8.592	1.009
ASHGA5P000251	2.906	0.885
ASHGA5P000252	2.836	0.637
ASHGA5P000255	3.507	0.577
ASHGA5P000258	3.457	-1.757
ASHGA5P000261	2.967	1.132
ASHGA5P000262	7.197	0.775
ASHGA5P000263	6.78	0.567
ASHGA5P000270	3.302	1.811
ASHGA5P000277	4.486	2.01
ASHGA5P000280	6.965	1.602
ASHGA5P000282	9.668	1.018
ASHGA5P000283	2.675	0.55
ASHGA5P000292	7.876	-0.849
ASHGA5P000302	5.803	0.682
ASHGA5P000303	8.006	2.016
ASHGA5P000304	3.446	1
ASHGA5P000305	8.689	0.594
ASHGA5P000311	3.013	-0.924
ASHGA5P000316	3.02	1.205
ASHGA5P000317	9.298	-0.909
ASHGA5P000318	3.025	1.194
ASHGA5P000319	3.223	-1.329
ASHGA5P000321	7.331	1.507
ASHGA5P000322	6.608	0.917
ASHGA5P000324	7.353	0.528
ASHGA5P000325	5.806	0.915
ASHGA5P000326	8.111	1.679
ASHGA5P000327	3.44	0.952
ASHGA5P000330	4.294	0.694
ASHGA5P000331	2.806	0.808
ASHGA5P000333	6.404	-0.547
ASHGA5P000335	5.965	0.699
ASHGA5P000337	2.685	0.576
ASHGA5P000342	5.942	-0.633
ASHGA5P000344	3.561	-2.02
ASHGA5P000345	6.7	1.582
ASHGA5P000346	5.967	0.708
ASHGA5P000350	5.341	0.824
ASHGA5P000351	7.343	1.23
ASHGA5P000352	3.615	-1.185
ASHGA5P000355	5.271	1.304
ASHGA5P000357	8.556	-0.789
ASHGA5P000361	2.746	0.699
ASHGA5P000368	9.439	0.71
ASHGA5P000369	7.571	2.269
ASHGA5P000370	3.026	-0.932
ASHGA5P000373	5.367	2.417
ASHGA5P000377	2.915	1.024
ASHGA5P000378	14.12	-1.266
ASHGA5P000379	4.627	-1.329
ASHGA5P000380	2.921	1.036
ASHGA5P000382	5.155	0.674
ASHGA5P000385	2.823	0.703
ASHGA5P000386	4.97	-0.547
ASHGA5P000387	9.005	-0.588
ASHGA5P000389	3.269	1.03
ASHGA5P000390	7.312	1.3
ASHGA5P000397	3.036	1.249
ASHGA5P000398	3.126	1.253
ASHGA5P000399	5.847	1.312
ASHGA5P000400	4.385	-1.65
ASHGA5P000404	6.309	0.625
ASHGA5P000405	7.166	0.38
ASHGA5P000406	2.983	0.986
ASHGA5P000407	6.97	1.595
ASHGA5P000411	3.22	-1.334
ASHGA5P000412	5.259	-0.926
ASHGA5P000413	3.057	1.291
ASHGA5P000415	3.284	-1.463
ASHGA5P000417	3.044	-0.963
ASHGA5P000420	4.077	-2.103
ASHGA5P000421	6.672	1.678
ASHGA5P000424	3.581	-1.007
ASHGA5P000425	5.673	-0.857
ASHGA5P000426	2.872	0.941
ASHGA5P000428	8.253	2.55
ASHGA5P000431	2.994	1.17
ASHGA5P000433	2.628	0.36
ASHGA5P000437	3.388	-0.638
ASHGA5P000439	5.324	0.711
ASHGA5P000440	11.473	-0.44
ASHGA5P000444	3.075	1.347
ASHGA5P000446	3.133	1.473
ASHGA5P000449	9.069	0.757
ASHGA5P000450	4.148	-3.186
ASHGA5P000451	7.992	2.695
ASHGA5P000452	6.891	1.461
ASHGA5P000453	6.043	1.978
ASHGA5P000461	7.183	0.873
ASHGA5P000463	6.177	0.538
ASHGA5P000464	5.455	0.736
ASHGA5P000465	7.353	-1.317
ASHGA5P000474	3.23	-1.336
ASHGA5P000478	5.792	2.309
ASHGA5P000479	2.76	0.716
ASHGA5P000483	7.472	1.199
ASHGA5P000488	2.942	1.08
ASHGA5P000489	5.054	1.1
ASHGA5P000493	4.933	0.833
ASHGA5P000494	9.861	1.436
ASHGA5P000495	10.951	-0.513
ASHGA5P000496	3.477	-1.846
ASHGA5P000498	3.047	-0.986
ASHGA5P000500	3.493	2.185
ASHGA5P000501	5.347	0.626
ASHGA5P000506	2.978	1.163
ASHGA5P000508	2.988	1.167
ASHGA5P000509	3.634	-2.164
ASHGA5P000512	6.864	1.281
ASHGA5P000515	2.921	0.831
ASHGA5P000517	2.915	1.036
ASHGA5P000520	6.948	-0.955
ASHGA5P000524	4.562	0.711
ASHGA5P000525	7.065	1.158
ASHGA5P000527	2.77	0.533
ASHGA5P000530	5.282	4.016
ASHGA5P000531	3.79	1.17
ASHGA5P000532	6.089	-0.638
ASHGA5P000534	3.449	-1.779
ASHGA5P000535	7.241	0.755
ASHGA5P000542	7.76	1.249
ASHGA5P000543	8.438	0.799
ASHGA5P000545	11.322	0.651
ASHGA5P000547	4.866	1.675
ASHGA5P000551	2.933	0.828
ASHGA5P000556	3.337	-1.569
ASHGA5P000558	3.368	-0.797
ASHGA5P000560	2.9	1.006
ASHGA5P000564	8.943	1.152
ASHGA5P000566	6.688	1.417
ASHGA5P000568	7.389	0.5
ASHGA5P000569	4.114	-1.544
ASHGA5P000573	4.875	1.141
ASHGA5P000575	7.831	0.906
ASHGA5P000576	4.558	-0.719
ASHGA5P000578	6.578	-0.405
ASHGA5P000580	8.426	0.342
ASHGA5P000581	3.067	1.249
ASHGA5P000582	9.371	1.513
ASHGA5P000583	3.07	1.315
ASHGA5P000585	3.823	0.605
ASHGA5P000586	9.751	1.109
ASHGA5P000589	8.837	-0.906
ASHGA5P000591	2.948	1.102
ASHGA5P000593	7.113	0.406
ASHGA5P000596	9.696	1.682
ASHGA5P000597	7.896	0.839
ASHGA5P000598	8.216	0.965
ASHGA5P000599	6.516	-1.195
ASHGA5P000602	4.391	-1.759
ASHGA5P000604	11.137	-1.076
ASHGA5P000605	10.13	-1.928
ASHGA5P000607	6.928	-3.74
ASHGA5P000608	6.503	0.61
ASHGA5P000609	8.624	-1.201
ASHGA5P000610	10.033	-1.697
ASHGA5P000611	7.038	-1.618
ASHGA5P000612	4.566	-3.894
ASHGA5P000613	7.606	-1.606
ASHGA5P000614	7.954	-2.582
ASHGA5P000616	6.492	0.516
ASHGA5P000617	9.989	0.606
ASHGA5P000618	5.154	0.909
ASHGA5P000619	10.573	1.46
ASHGA5P000621	9.972	-2.699
ASHGA5P000622	9.544	-1.048
ASHGA5P000624	7.995	0.726
ASHGA5P000625	10.457	-2.525
ASHGA5P000626	7.644	-3.132
ASHGA5P000628	2.959	0.834
