ID	log2Exp	log2FC
ASHGA5P000325	5.64	1.247
ASHGA5P000326	8.104	1.692
ASHGA5P000327	3.314	1.206
ASHGA5P000330	4.006	1.272
ASHGA5P000331	2.792	0.835
ASHGA5P000335	6.029	0.572
ASHGA5P000337	2.674	0.598
ASHGA5P000340	7.42	0.756
ASHGA5P000344	3.513	-1.924
ASHGA5P000345	6.759	1.464
ASHGA5P000346	5.936	0.771
ASHGA5P000350	5.035	1.435
ASHGA5P000351	7.292	1.332
ASHGA5P000352	3.463	-0.881
ASHGA5P000355	5.147	1.55
ASHGA5P000361	2.735	0.722
ASHGA5P000363	2.953	1.014
ASHGA5P000368	9.397	0.794
ASHGA5P000369	7.572	2.265
ASHGA5P000373	5.222	2.707
ASHGA5P000377	2.901	1.052
ASHGA5P000378	14.066	-1.158
ASHGA5P000380	2.907	1.064
ASHGA5P000382	5.078	0.829
ASHGA5P000385	2.79	0.769
ASHGA5P000389	3.088	1.393
ASHGA5P000390	6.93	2.063
ASHGA5P000397	3.017	1.286
ASHGA5P000398	3.064	1.378
ASHGA5P000399	5.559	1.888
ASHGA5P000400	4.424	-1.727
ASHGA5P000404	6.143	0.958
ASHGA5P000405	6.98	0.753
ASHGA5P000406	3.026	0.9
ASHGA5P000407	7.188	1.158
ASHGA5P000409	6.315	1.069
ASHGA5P000411	3.109	-1.112
ASHGA5P000412	5.161	-0.73
ASHGA5P000413	3.039	1.328
ASHGA5P000415	3.149	-1.193
ASHGA5P000417	3.085	-1.046
ASHGA5P000421	6.637	1.749
ASHGA5P000424	3.414	-0.675
ASHGA5P000425	5.509	-0.529
ASHGA5P000426	2.859	0.968
ASHGA5P000428	8.138	2.78
ASHGA5P000430	6.39	0.466
ASHGA5P000431	2.977	1.204
ASHGA5P000433	2.591	0.433
ASHGA5P000435	7.297	1.199
ASHGA5P000439	5.323	0.713
ASHGA5P000440	11.485	-0.465
ASHGA5P000441	3.577	-0.55
ASHGA5P000444	3.062	1.374
ASHGA5P000446	3.122	1.496
ASHGA5P000447	5.505	0.6
ASHGA5P000448	6.376	0.66
ASHGA5P000449	9.029	0.838
ASHGA5P000450	3.827	-2.543
ASHGA5P000451	7.987	2.704
ASHGA5P000452	6.668	1.906
ASHGA5P000453	6.237	1.591
ASHGA5P000454	6.961	0.703
ASHGA5P000459	7.903	0.925
ASHGA5P000461	7.149	0.942
ASHGA5P000463	6.035	0.823
ASHGA5P000465	7.103	-0.815
ASHGA5P000470	7.516	0.578
ASHGA5P000471	5.712	0.552
ASHGA5P000474	2.922	-0.719
ASHGA5P000478	5.771	2.351
ASHGA5P000479	2.746	0.743
ASHGA5P000483	7.362	1.419
ASHGA5P000484	2.998	1.093
ASHGA5P000486	5.855	0.721
ASHGA5P000488	2.928	1.107
ASHGA5P000489	5.178	0.851
ASHGA5P000492	6.792	0.481
ASHGA5P000493	4.623	1.451
ASHGA5P000494	9.776	1.606
ASHGA5P000495	11.024	-0.659
ASHGA5P000496	3.129	-1.15
ASHGA5P000498	3.04	-0.972
ASHGA5P000500	3.48	2.211
ASHGA5P000501	5.353	0.615
ASHGA5P000506	2.982	1.157
ASHGA5P000508	2.973	1.197
ASHGA5P000509	3.515	-1.925
ASHGA5P000512	6.793	1.423
ASHGA5P000517	2.904	1.058
ASHGA5P000519	3.65	0.606
ASHGA5P000520	6.928	-0.916
ASHGA5P000521	6.24	0.844
ASHGA5P000522	6.749	0.494
ASHGA5P000523	7.777	0.583
ASHGA5P000524	4.408	1.019
ASHGA5P000525	6.898	1.491
ASHGA5P000528	5.887	0.673
ASHGA5P000529	2.781	0.538
ASHGA5P000530	5.292	3.997
ASHGA5P000531	3.718	1.315
ASHGA5P000532	6.111	-0.681
ASHGA5P000533	4.514	1.044
ASHGA5P000534	3.306	-1.492
ASHGA5P000535	7.066	1.104
ASHGA5P000541	3.108	0.925
ASHGA5P000542	7.815	1.138
ASHGA5P000543	8.392	0.89
ASHGA5P000545	11.236	0.823
ASHGA5P000547	4.978	1.451
ASHGA5P000550	5.74	0.472
ASHGA5P000551	2.861	0.972
ASHGA5P000553	10.753	0.839
ASHGA5P000555	7.974	0.582
ASHGA5P000556	3.083	-1.061
ASHGA5P000558	3.209	-0.479
ASHGA5P000560	2.889	1.028
ASHGA5P000561	4.62	2.196
ASHGA5P000564	8.804	1.431
ASHGA5P000566	6.623	1.548
ASHGA5P000567	5.592	0.908
ASHGA5P000568	7.403	0.472
ASHGA5P000569	4.031	-1.376
ASHGA5P000573	4.915	1.062
ASHGA5P000575	7.656	1.257
ASHGA5P000580	8.756	-0.318
ASHGA5P000582	9.392	1.47
ASHGA5P000586	9.663	1.285
ASHGA5P000587	5.551	0.421
ASHGA5P000591	2.937	1.124
ASHGA5P000593	7.067	0.498
ASHGA5P000596	10.088	0.899
ASHGA5P000597	7.822	0.987
ASHGA5P000598	8.06	1.277
ASHGA5P000600	9.374	0.403
ASHGA5P000601	3.151	-0.998
ASHGA5P000602	4.546	-2.069
ASHGA5P000604	10.973	-0.748
ASHGA5P000605	9.974	-1.616
ASHGA5P000607	6.691	-3.266
ASHGA5P000608	6.384	0.847
ASHGA5P000609	9.056	-2.065
ASHGA5P000610	10.138	-1.907
ASHGA5P000611	6.774	-1.09
ASHGA5P000612	4.385	-3.532
ASHGA5P000613	7.48	-1.353
ASHGA5P000614	7.289	-1.253
ASHGA5P000615	8.05	-2.067
ASHGA5P000616	6.546	0.408
ASHGA5P000617	9.708	1.17
ASHGA5P000618	6.227	-1.238
ASHGA5P000619	10.064	2.478
ASHGA5P000621	9.578	-1.909
ASHGA5P000622	9.324	-0.608
ASHGA5P000623	3.871	0.737
ASHGA5P000624	7.912	0.892
ASHGA5P000625	10.715	-3.042
ASHGA5P000626	7.874	-3.593
ASHGA5P000627	8.57	-2.572
ASHGA5P000628	2.911	0.929
ASHGA5P000629	13.892	2.34
ASHGA5P000630	7.825	-0.413
ASHGA5P000631	5.69	1.221
ASHGA5P000632	5.629	0.652
ASHGA5P000633	5.718	0.419
ASHGA5P000634	7.035	-3.994
ASHGA5P000637	9.895	-2.113
ASHGA5P000638	5.187	-3.383
ASHGA5P000639	5.63	1.301
ASHGA5P000640	10.957	-3.064
ASHGA5P000641	3.599	-2.098
ASHGA5P000643	15.41	-1.399
ASHGA5P000644	11.882	-2.495
ASHGA5P000646	10.585	-0.904
ASHGA5P000647	8.532	0.858
ASHGA5P000648	11.416	-2.819
ASHGA5P000649	4.551	2.999
ASHGA5P000650	7.853	-3.249
ASHGA5P000651	6.163	0.349
ASHGA5P000653	6.788	-2.444
ASHGA5P000654	14.072	-1.661
ASHGA5P000655	8.338	-0.589
ASHGA5P000656	8.406	-1.752
ASHGA5P000657	6.865	-5.55
ASHGA5P000658	11.416	1.021
ASHGA5P000659	6.949	-0.644
ASHGA5P000660	7.333	-0.576
ASHGA5P000662	9.326	-0.95
ASHGA5P000663	7.346	1.829
ASHGA5P000664	8.866	1.622
ASHGA5P000665	10.321	-2.019
ASHGA5P000666	5.309	-1.334
ASHGA5P000667	9.111	-3.221
ASHGA5P000668	5.46	-1.014
ASHGA5P000669	9.031	1.69
ASHGA5P000670	5.619	-1.489
ASHGA5P000671	4.551	-1.784
ASHGA5P000672	5.346	0.702
ASHGA5P000674	8.11	-2.247
ASHGA5P000675	6.413	-1.102
ASHGA5P000677	6.49	0.533
ASHGA5P000678	14.502	-1.573
ASHGA5P000679	8.089	0.832
ASHGA5P000681	12.569	0.905
ASHGA5P000682	7.094	-1.458
ASHGA5P000683	9.515	-1.885
ASHGA5P000684	8.243	1.254
ASHGA5P000685	10.08	-1.638
ASHGA5P000686	8.47	-0.935
ASHGA5P000687	9.875	0.558
ASHGA5P000688	10.383	-0.656
ASHGA5P000689	7.206	-2.907
ASHGA5P000693	5.728	0.967
ASHGA5P000695	8.785	-1.611
ASHGA5P000696	4.591	0.949
ASHGA5P000697	4.929	-2.474
ASHGA5P000699	10.493	-0.345
ASHGA5P000700	12.143	0.564
ASHGA5P000702	6.762	-2.382
ASHGA5P000703	3.795	-2.482
ASHGA5P000704	6.546	-2.508
ASHGA5P000705	8.224	-0.654
ASHGA5P000706	5.223	0.962
ASHGA5P000707	5.818	1.477
ASHGA5P000709	6.929	-1.17
ASHGA5P000711	4.343	-2.087
