ID	log2(fold change)	-log10(Pvalue)
ASHGA5P000003	2.068	5.696
ASHGA5P000005	1.312	4.516
ASHGA5P000006	-4.824	5.626
ASHGA5P000007	0.713	2.109
ASHGA5P000009	0.819	3.153
ASHGA5P000016	3.069	7.18
ASHGA5P000018	1.591	2.685
ASHGA5P000019	0.858	3.683
ASHGA5P000020	-0.322	1.597
ASHGA5P000021	0.483	2.353
ASHGA5P000022	0.514	1.969
ASHGA5P000023	-1.265	4.255
ASHGA5P000024	1.261	4.696
ASHGA5P000027	1.361	3.931
ASHGA5P000028	0.422	1.563
ASHGA5P000029	-0.494	1.529
ASHGA5P000031	-1.278	4.759
ASHGA5P000032	0.486	2.436
ASHGA5P000035	0.42	2.318
ASHGA5P000039	-1.857	5.346
ASHGA5P000040	-3.597	6.295
ASHGA5P000041	1.013	1.687
ASHGA5P000043	1.121	1.809
ASHGA5P000045	0.921	2.715
ASHGA5P000046	1.494	5.025
ASHGA5P000047	1.245	3.293
ASHGA5P000048	1.174	1.675
ASHGA5P000051	1.078	2.651
ASHGA5P000053	1.379	4.293
ASHGA5P000054	-0.428	1.979
ASHGA5P000055	2.114	2.461
ASHGA5P000057	0.973	2.011
ASHGA5P000058	1.321	4.147
ASHGA5P000059	2.662	6.605
ASHGA5P000060	0.571	1.959
ASHGA5P000062	-0.663	1.812
ASHGA5P000063	-1.343	2.133
ASHGA5P000065	-0.53	2.016
ASHGA5P000066	4.952	7.54
ASHGA5P000070	0.93	2.382
ASHGA5P000071	1.754	5.494
ASHGA5P000073	-0.609	3.17
ASHGA5P000075	-1.179	2.602
ASHGA5P000077	2.013	6.098
ASHGA5P000078	1.291	1.814
ASHGA5P000079	2.738	5.608
ASHGA5P000080	2.637	6.017
ASHGA5P000081	1.057	4.194
ASHGA5P000082	-0.306	1.579
ASHGA5P000085	0.485	2.215
ASHGA5P000088	0.921	4.259
ASHGA5P000090	2.18	3.839
ASHGA5P000093	1.376	4.844
ASHGA5P000094	0.597	3.009
ASHGA5P000095	1.028	1.872
ASHGA5P000096	-0.821	2.277
ASHGA5P000097	-1.139	4.456
ASHGA5P000098	-2.672	5.823
ASHGA5P000099	-0.928	2.779
ASHGA5P000100	-3.782	7.381
ASHGA5P000101	-2.557	4.743
ASHGA5P000102	-0.481	1.539
ASHGA5P000105	2.498	4.828
ASHGA5P000106	0.826	2.107
ASHGA5P000107	1.359	2.009
ASHGA5P000108	-5.891	7.032
ASHGA5P000109	1.386	3.55
ASHGA5P000110	-1.055	3.035
ASHGA5P000112	1.857	4.908
ASHGA5P000113	1.595	3.641
ASHGA5P000114	0.83	1.952
ASHGA5P000115	1.635	4.432
ASHGA5P000116	-1.945	3.104
ASHGA5P000118	0.487	2.661
ASHGA5P000120	1.203	2.044
ASHGA5P000124	0.836	3.059
ASHGA5P000126	-0.728	2.981
ASHGA5P000129	0.784	2.117
ASHGA5P000130	0.693	2.727
ASHGA5P000133	0.704	3.015
ASHGA5P000134	0.479	1.986
ASHGA5P000137	0.639	2.645
ASHGA5P000139	-1.151	3.387
ASHGA5P000140	1.223	3.086
ASHGA5P000141	0.462	2.136
ASHGA5P000142	1.545	3.681
ASHGA5P000144	1.438	1.726
ASHGA5P000145	0.641	2.081
ASHGA5P000148	1.605	3.524
ASHGA5P000149	-2.138	1.521
ASHGA5P000151	0.855	2.88
ASHGA5P000152	1.322	2.045
ASHGA5P000153	-1.102	2.699
ASHGA5P000156	0.656	2.813
ASHGA5P000157	0.569	2.244
ASHGA5P000160	0.752	3.459
ASHGA5P000161	0.465	1.982
ASHGA5P000163	0.541	1.556
ASHGA5P000165	-0.811	2.304
ASHGA5P000171	0.526	1.766
ASHGA5P000172	1.741	3.947
ASHGA5P000173	0.661	3.016
ASHGA5P000175	-0.94	2.64
ASHGA5P000176	1.303	4.414
ASHGA5P000177	0.701	3.024
ASHGA5P000180	0.498	1.809
ASHGA5P000183	2.206	3.865
ASHGA5P000184	0.679	2.245
ASHGA5P000186	0.428	2.013
ASHGA5P000187	0.745	2.034
ASHGA5P000190	1.414	1.659
ASHGA5P000192	0.692	2.679
ASHGA5P000194	0.739	3.205
ASHGA5P000195	0.381	1.686
ASHGA5P000196	-1.072	1.981
ASHGA5P000198	1.057	2.042
ASHGA5P000200	0.679	1.533
ASHGA5P000205	1.007	4.15
ASHGA5P000207	0.589	1.877
ASHGA5P000209	-0.883	2.184
ASHGA5P000211	0.799	2.419
ASHGA5P000213	0.954	3.861
ASHGA5P000216	-0.909	3.619
ASHGA5P000217	0.979	3.771
ASHGA5P000218	1.729	3.819
ASHGA5P000220	0.828	3.019
ASHGA5P000222	0.946	2.421
ASHGA5P000225	-0.855	2.143
ASHGA5P000227	2.78	3.173
ASHGA5P000230	1.298	3.015
ASHGA5P000232	1.275	3.897
ASHGA5P000233	-1.29	2.397
ASHGA5P000234	0.727	2.453
ASHGA5P000235	1.003	1.583
ASHGA5P000237	1.328	3.372
ASHGA5P000238	-0.663	1.85
ASHGA5P000239	-1.153	2.4
ASHGA5P000240	0.934	2.855
ASHGA5P000243	0.648	2.237
ASHGA5P000244	-1.905	2.629
ASHGA5P000245	1.73	1.764
ASHGA5P000246	-0.377	1.57
ASHGA5P000248	0.933	3.596
ASHGA5P000249	0.44	2.011
ASHGA5P000251	0.975	2.599
ASHGA5P000252	0.78	2.786
