ID	log2(fold change)	-log10(Pvalue)
ASHGA5P000255	1.29	3.333
ASHGA5P000258	-1.572	2.976
ASHGA5P000261	1.158	2.274
ASHGA5P000262	0.881	3.264
ASHGA5P000270	1.833	2.838
ASHGA5P000273	0.956	2.418
ASHGA5P000277	1.803	3.33
ASHGA5P000279	-0.723	2.039
ASHGA5P000280	1.895	4.156
ASHGA5P000282	0.972	3.893
ASHGA5P000283	0.576	2.254
ASHGA5P000285	0.644	1.554
ASHGA5P000286	0.668	3.096
ASHGA5P000291	0.513	2.281
ASHGA5P000299	0.598	2.069
ASHGA5P000302	0.951	2.716
ASHGA5P000303	1.956	4.336
ASHGA5P000305	0.653	1.777
ASHGA5P000306	-0.853	1.8
ASHGA5P000309	0.937	1.625
ASHGA5P000311	-1.043	2.78
ASHGA5P000316	1.248	2.208
ASHGA5P000317	-0.634	1.979
ASHGA5P000318	1.248	2.1
ASHGA5P000319	-1.489	3.382
ASHGA5P000321	2.05	2.947
ASHGA5P000322	0.805	1.562
ASHGA5P000324	0.581	2.411
ASHGA5P000325	1.247	3.212
ASHGA5P000326	1.692	5.121
ASHGA5P000327	1.206	2.726
ASHGA5P000330	1.272	2.157
ASHGA5P000331	0.835	2.868
ASHGA5P000335	0.572	2.92
ASHGA5P000337	0.598	2.07
ASHGA5P000340	0.756	2.365
ASHGA5P000344	-1.924	3.083
ASHGA5P000345	1.464	3.827
ASHGA5P000346	0.771	3.173
ASHGA5P000350	1.435	2.833
ASHGA5P000351	1.332	4.201
ASHGA5P000352	-0.881	2.327
ASHGA5P000355	1.55	3.996
ASHGA5P000361	0.722	2.02
ASHGA5P000363	1.014	2.072
ASHGA5P000368	0.794	3.243
ASHGA5P000369	2.265	5.966
ASHGA5P000373	2.707	6.144
ASHGA5P000377	1.052	2.508
ASHGA5P000378	-1.158	1.995
ASHGA5P000380	1.064	2.491
ASHGA5P000382	0.829	2.316
ASHGA5P000385	0.769	2.894
ASHGA5P000389	1.393	3.007
ASHGA5P000390	2.063	4.928
ASHGA5P000397	1.286	2.06
ASHGA5P000398	1.378	2.006
ASHGA5P000399	1.888	3.378
ASHGA5P000400	-1.727	1.797
ASHGA5P000404	0.958	2.883
ASHGA5P000405	0.753	3.181
ASHGA5P000406	0.9	1.959
ASHGA5P000407	1.158	4.51
ASHGA5P000409	1.069	2.741
ASHGA5P000411	-1.112	2.882
ASHGA5P000412	-0.73	2.118
ASHGA5P000413	1.328	2.026
ASHGA5P000415	-1.193	2.555
ASHGA5P000417	-1.046	1.644
ASHGA5P000421	1.749	5.057
ASHGA5P000424	-0.675	1.721
ASHGA5P000425	-0.529	2.122
ASHGA5P000426	0.968	2.566
ASHGA5P000428	2.78	6.023
ASHGA5P000430	0.466	1.826
ASHGA5P000431	1.204	2.278
ASHGA5P000433	0.433	2.148
ASHGA5P000435	1.199	3.344
ASHGA5P000439	0.713	2.393
ASHGA5P000440	-0.465	2.574
ASHGA5P000441	-0.55	1.605
ASHGA5P000444	1.374	1.994
ASHGA5P000446	1.496	1.637
ASHGA5P000447	0.6	2.162
ASHGA5P000448	0.66	2.689
ASHGA5P000449	0.838	3.592
ASHGA5P000450	-2.543	4.69
ASHGA5P000451	2.704	5.104
ASHGA5P000452	1.906	5.678
ASHGA5P000453	1.591	4.373
ASHGA5P000454	0.703	2.499
ASHGA5P000459	0.925	3.414
ASHGA5P000461	0.942	3.264
ASHGA5P000463	0.823	2.587
ASHGA5P000465	-0.815	3.545
ASHGA5P000470	0.578	1.617
ASHGA5P000471	0.552	2.145
ASHGA5P000474	-0.719	1.745
ASHGA5P000478	2.351	3.474
ASHGA5P000479	0.743	2.184
ASHGA5P000483	1.419	3.915
ASHGA5P000484	1.093	2.122
ASHGA5P000486	0.721	2.038
ASHGA5P000488	1.107	2.427
ASHGA5P000489	0.851	3.106
ASHGA5P000492	0.481	1.824
ASHGA5P000493	1.451	2.823
ASHGA5P000494	1.606	3.002
ASHGA5P000495	-0.659	3.135
ASHGA5P000496	-1.15	2.742
ASHGA5P000498	-0.972	2.227
ASHGA5P000500	2.211	1.733
ASHGA5P000501	0.615	3.3
ASHGA5P000506	1.157	2.096
ASHGA5P000508	1.197	2.287
ASHGA5P000509	-1.925	4.247
ASHGA5P000512	1.423	4.02
ASHGA5P000517	1.058	2.366
ASHGA5P000519	0.606	1.623
ASHGA5P000520	-0.916	3.288
ASHGA5P000521	0.844	3.629
ASHGA5P000522	0.494	2.265
ASHGA5P000523	0.583	2.762
ASHGA5P000524	1.019	2.229
ASHGA5P000525	1.491	4.243
ASHGA5P000528	0.673	2.71
ASHGA5P000529	0.538	1.7
ASHGA5P000530	3.997	6.349
ASHGA5P000531	1.315	1.789
ASHGA5P000532	-0.681	1.888
ASHGA5P000533	1.044	1.795
ASHGA5P000534	-1.492	3.682
ASHGA5P000535	1.104	3.513
ASHGA5P000541	0.925	1.514
ASHGA5P000542	1.138	2.553
ASHGA5P000543	0.89	2.8
ASHGA5P000545	0.823	3.711
ASHGA5P000547	1.451	2.661
ASHGA5P000550	0.472	1.516
ASHGA5P000551	0.972	2.398
ASHGA5P000553	0.839	2.642
ASHGA5P000555	0.582	2.52
ASHGA5P000556	-1.061	2.502
ASHGA5P000558	-0.479	1.782
ASHGA5P000560	1.028	2.508
ASHGA5P000561	2.196	1.732
ASHGA5P000564	1.431	4.222
ASHGA5P000566	1.548	4.204
ASHGA5P000567	0.908	1.962
ASHGA5P000568	0.472	2.097
ASHGA5P000569	-1.376	3.297
ASHGA5P000573	1.062	3.717
ASHGA5P000575	1.257	4.568
ASHGA5P000580	-0.318	1.929
ASHGA5P000582	1.47	4.602
ASHGA5P000586	1.285	4.185
ASHGA5P000587	0.421	1.553
ASHGA5P000591	1.124	2.224
ASHGA5P000593	0.498	1.911
ASHGA5P000596	0.899	4.164
ASHGA5P000597	0.987	2.874
ASHGA5P000598	1.277	4.233
ASHGA5P000600	0.403	1.958
ASHGA5P000601	-0.998	3.138
ASHGA5P000602	-2.069	2.896
ASHGA5P000604	-0.748	2.795
ASHGA5P000605	-1.616	4.79
ASHGA5P000607	-3.266	6.466
ASHGA5P000608	0.847	3.301
ASHGA5P000609	-2.065	5.285
ASHGA5P000610	-1.907	5.814
ASHGA5P000611	-1.09	3.401
ASHGA5P000612	-3.532	5.858
ASHGA5P000613	-1.353	5.007
ASHGA5P000614	-1.253	3.168
ASHGA5P000615	-2.067	5.227
ASHGA5P000616	0.408	1.69
ASHGA5P000617	1.17	4.756
ASHGA5P000618	-1.238	4.075
ASHGA5P000619	2.478	5.701
ASHGA5P000621	-1.909	6.041
ASHGA5P000622	-0.608	2.876
ASHGA5P000623	0.737	1.838
ASHGA5P000624	0.892	3.608
ASHGA5P000625	-3.042	6.357
ASHGA5P000626	-3.593	6.83
ASHGA5P000627	-2.572	6.203
ASHGA5P000628	0.929	2.332
ASHGA5P000629	2.34	6.093
ASHGA5P000630	-0.413	1.732
ASHGA5P000631	1.221	3.643
ASHGA5P000632	0.652	2.775
ASHGA5P000633	0.419	2.118
ASHGA5P000634	-3.994	4.897
ASHGA5P000637	-2.113	6.081
ASHGA5P000638	-3.383	4.128
ASHGA5P000639	1.301	2.691
ASHGA5P000640	-3.064	7.25
ASHGA5P000641	-2.098	4.033
ASHGA5P000643	-1.399	5.343
ASHGA5P000644	-2.495	5.174
ASHGA5P000646	-0.904	2.762
ASHGA5P000647	0.858	3.276
ASHGA5P000648	-2.819	6.668
ASHGA5P000649	2.999	5.342
ASHGA5P000650	-3.249	5.893
ASHGA5P000651	0.349	1.59
ASHGA5P000653	-2.444	5.883
ASHGA5P000654	-1.661	4.714
ASHGA5P000655	-0.589	3.105
ASHGA5P000656	-1.752	5.62
ASHGA5P000657	-5.55	8.026
ASHGA5P000658	1.021	3.248
ASHGA5P000659	-0.644	1.898
ASHGA5P000660	-0.576	2.486
ASHGA5P000662	-0.95	4.236
ASHGA5P000663	1.829	4.504
ASHGA5P000664	1.622	5.696
ASHGA5P000665	-2.019	6.067
ASHGA5P000666	-1.334	2.927
ASHGA5P000667	-3.221	4.782
ASHGA5P000668	-1.014	3.507
ASHGA5P000669	1.69	5.526
ASHGA5P000670	-1.489	3.857
ASHGA5P000671	-1.784	2.457
ASHGA5P000672	0.702	2.56
ASHGA5P000674	-2.247	6.084
ASHGA5P000675	-1.102	3.037
ASHGA5P000677	0.533	2.54
ASHGA5P000678	-1.573	4.392
ASHGA5P000679	0.832	3.131
ASHGA5P000681	0.905	2.967
ASHGA5P000682	-1.458	3.382
ASHGA5P000683	-1.885	4.412
ASHGA5P000684	1.254	3.629
ASHGA5P000685	-1.638	5.211
ASHGA5P000686	-0.935	3.764
ASHGA5P000687	0.558	2.684
ASHGA5P000688	-0.656	2.916
ASHGA5P000689	-2.907	5.183
ASHGA5P000693	0.967	4.054
ASHGA5P000695	-1.611	5.268
ASHGA5P000696	0.949	3.596
ASHGA5P000697	-2.474	4.084
ASHGA5P000699	-0.345	1.786
ASHGA5P000700	0.564	3.089
ASHGA5P000702	-2.382	4.352
ASHGA5P000703	-2.482	4.696
ASHGA5P000704	-2.508	5.483
ASHGA5P000705	-0.654	2.584
ASHGA5P000706	0.962	2.298
ASHGA5P000707	1.477	4.282
ASHGA5P000709	-1.17	2.004
ASHGA5P000711	-2.087	2.389
ASHGA5P000712	-4.442	3.263
ASHGA5P000713	-2.456	4.775
ASHGA5P000714	-3.676	6.989
ASHGA5P000715	-2.402	5.689
ASHGA5P000716	-3.37	4.025
ASHGA5P000717	0.747	2.521
ASHGA5P000719	0.677	1.558
ASHGA5P000722	1.09	3.38
ASHGA5P000723	0.838	2.626
ASHGA5P000724	0.56	1.82
ASHGA5P000725	-4.494	3.24
ASHGA5P000727	-1.376	4.476
ASHGA5P000729	-2.316	5.241
ASHGA5P000730	-1.129	3.941
ASHGA5P000731	0.708	2.992
ASHGA5P000732	-2.474	4.875
ASHGA5P000736	-1.336	4.478
ASHGA5P000738	0.706	2.372
ASHGA5P000739	1.236	3.493
ASHGA5P000741	1.47	4.61
ASHGA5P000742	1.787	4.005
ASHGA5P000743	-3.066	6.756
ASHGA5P000744	-2.596	6.854
ASHGA5P000745	-2.84	5.2
ASHGA5P000746	0.434	1.751
ASHGA5P000747	1.127	1.798
ASHGA5P000749	1.272	3.501
ASHGA5P000750	0.93	3.738
ASHGA5P000753	0.837	3.327
ASHGA5P000755	0.692	2.955
ASHGA5P000759	1.696	3.917
ASHGA5P000760	0.932	2.541
ASHGA5P000761	-2.365	6.52
ASHGA5P000763	1.343	2.034
ASHGA5P000764	-5.301	6.566
ASHGA5P000766	1.88	4.892
ASHGA5P000767	-0.59	2.347
ASHGA5P000768	0.876	4.081
ASHGA5P000769	-2.448	3.752
ASHGA5P000771	-2.834	4.659
ASHGA5P000772	0.894	3.068
ASHGA5P000776	-2.315	2.921
ASHGA5P000777	0.497	1.724
ASHGA5P000779	4.549	7.441
ASHGA5P000782	-1.194	4.335
ASHGA5P000783	-2.246	5.124
ASHGA5P000784	0.729	2.982
ASHGA5P000785	-3.159	6.005
ASHGA5P000787	-2.162	6.317
ASHGA5P000788	-1.224	3.647
ASHGA5P000791	-0.423	2.22
ASHGA5P000792	-0.957	3.897
ASHGA5P000793	1.35	4.178
ASHGA5P000794	-0.869	3.173
ASHGA5P000795	-3.622	3.937
ASHGA5P000796	-3.646	7.402
ASHGA5P000797	-3.084	2.685
ASHGA5P000801	0.611	2.361
ASHGA5P000803	-1.264	3.049
ASHGA5P000804	-0.374	1.536
ASHGA5P000805	-1.334	3.488
ASHGA5P000806	-2.269	4.643
ASHGA5P000807	-0.609	2.815
ASHGA5P000808	-1.05	2.127
ASHGA5P000809	3.19	4.472
ASHGA5P000810	0.948	4.23
ASHGA5P000811	-1.541	4.065
ASHGA5P000812	-1.453	3.511
ASHGA5P000814	-4.626	7.087
ASHGA5P000815	-1.241	2.454
ASHGA5P000816	1.527	3.688
ASHGA5P000817	-1.288	4.194
ASHGA5P000818	-3.603	6.084
ASHGA5P000819	-2.532	6.521
ASHGA5P000820	-0.776	3.565
ASHGA5P000821	-0.968	2.772
ASHGA5P000822	-1.412	3.587
ASHGA5P000823	1.023	2.977
ASHGA5P000824	-2.562	6.099
ASHGA5P000826	-1.172	4.008
ASHGA5P000827	-0.459	2.299
ASHGA5P000828	-2.525	5.959
ASHGA5P000829	0.556	1.561
ASHGA5P000830	1.341	4.395
ASHGA5P000831	1.625	3.37
ASHGA5P000832	-4.161	6.18
ASHGA5P000833	1.207	4.073
ASHGA5P000834	-1.535	4.582
ASHGA5P000836	-3.515	6.082
ASHGA5P000838	-1.177	3.972
ASHGA5P000839	-1.11	3.485
ASHGA5P000840	-2.794	2.529
ASHGA5P000841	0.386	2.096
ASHGA5P000843	-3.738	6.731
ASHGA5P000845	-0.521	2.785
ASHGA5P000849	0.39	1.847
ASHGA5P000850	-1.473	1.701
ASHGA5P000854	-3.258	5.609
ASHGA5P000856	-4.335	4.292
ASHGA5P000857	0.696	2.786
ASHGA5P000858	-0.743	3.158
ASHGA5P000859	-2.049	5.389
ASHGA5P000860	0.653	2.971
ASHGA5P000861	1.699	1.731
ASHGA5P000862	1.072	4.555
ASHGA5P000864	-0.559	2.386
ASHGA5P000866	0.892	2.231
ASHGA5P000867	4.144	7.162
ASHGA5P000868	-0.632	2.114
ASHGA5P000869	-2.769	5.813
ASHGA5P000870	-1.027	2.577
ASHGA5P000871	-0.582	2.984
ASHGA5P000872	0.628	2.159
ASHGA5P000873	-2.841	5.88
ASHGA5P000874	-1.013	4.08
ASHGA5P000875	4.805	6.937
ASHGA5P000876	-2.945	6.061
ASHGA5P000878	-0.991	4.155
ASHGA5P000880	-0.928	4.17
ASHGA5P000881	-0.383	2.25
ASHGA5P000883	1.143	4.783
ASHGA5P000884	2.027	4.383
ASHGA5P000885	0.717	3.222
ASHGA5P000887	4.056	7.86
ASHGA5P000888	-2.316	6.239
ASHGA5P000890	-1.048	3.668
ASHGA5P000892	0.555	2.158
ASHGA5P000893	-1.491	3.7
ASHGA5P000895	-1.396	4.075
ASHGA5P000896	-0.708	2.866
ASHGA5P000897	1.664	5.33
ASHGA5P000898	0.437	2.376
ASHGA5P000899	1.187	2.1
ASHGA5P000900	-2.864	6.497
ASHGA5P000901	1.046	4.433
ASHGA5P000902	0.668	2.199
ASHGA5P000903	-2.471	3.25
ASHGA5P000904	3.192	7.27
ASHGA5P000905	1.402	5.176
ASHGA5P000906	-2.047	4.325
ASHGA5P000907	-2.001	4.494
ASHGA5P000908	-0.619	2.854
ASHGA5P000909	0.808	3.857
ASHGA5P000911	0.86	2.361
ASHGA5P000913	1.213	4.106
ASHGA5P000914	1.5	4.442
ASHGA5P000915	1.231	4.375
ASHGA5P000916	-1.955	2.102
ASHGA5P000918	0.979	1.597
ASHGA5P000920	-4.405	5.348
ASHGA5P000922	-3.264	7.198
ASHGA5P000923	-0.536	1.886
ASHGA5P000924	0.617	3.16
ASHGA5P000927	0.56	3.105
ASHGA5P000928	1.278	3.59
ASHGA5P000929	-0.897	1.742
ASHGA5P000932	0.811	3.258
ASHGA5P000934	-4.809	4.604
ASHGA5P000935	1.494	4.277
ASHGA5P000936	-2.139	2.953
ASHGA5P000938	0.475	2.344
ASHGA5P000939	-1.204	3.906
ASHGA5P000941	-1.366	2.465
ASHGA5P000942	-2.708	6.059
ASHGA5P000943	-2.268	5.35
ASHGA5P000944	1.297	3.94
ASHGA5P000945	-2.537	5.187
ASHGA5P000946	-1.425	4.796
ASHGA5P000947	-6	4.911
ASHGA5P000948	3.869	5.762
ASHGA5P000949	-2.615	6.903
ASHGA5P000950	-1.937	6.07
ASHGA5P000952	-5.626	5.546
ASHGA5P000953	-2.524	6.036
ASHGA5P000954	-2.057	6.175
ASHGA5P000955	-0.717	3.722
ASHGA5P000956	5.133	7.668
ASHGA5P000957	0.922	2.676
ASHGA5P000958	-1.146	4.348
ASHGA5P000959	0.644	3.403
ASHGA5P000960	0.77	3.658
ASHGA5P000961	0.612	2.363
ASHGA5P000963	-1.892	6.033
ASHGA5P000964	-1.698	4.583
ASHGA5P000965	-2.537	4.464
ASHGA5P000966	-0.337	1.712
ASHGA5P000967	0.608	2.662
ASHGA5P000968	-1.702	5.65
ASHGA5P000969	1.215	1.911
ASHGA5P000970	-1.726	5.757
ASHGA5P000971	-1.678	5.34
ASHGA5P000972	1.025	3.637
ASHGA5P000974	-4.923	7.836
ASHGA5P000975	1.143	1.589
ASHGA5P000976	-1.289	5.104
ASHGA5P000977	0.322	1.513
ASHGA5P000978	-4.343	3.455
ASHGA5P000979	-4.616	6.947
ASHGA5P000980	-2.518	5.923
ASHGA5P000981	-2.395	2.746
ASHGA5P000983	2.962	5.721
ASHGA5P000984	-1.557	3.299
ASHGA5P000985	-0.874	2.435
ASHGA5P000986	0.789	2.299
ASHGA5P000988	1.316	4.597
ASHGA5P000990	-1.314	4.353
ASHGA5P000991	-3.246	4.042
ASHGA5P000992	-2.613	5.764
ASHGA5P000993	1.664	3.119
ASHGA5P000995	0.621	1.654
ASHGA5P000996	-1.089	2.518
ASHGA5P000998	1.032	4.136
ASHGA5P000999	0.582	2.043
ASHGA5P001001	0.943	3.969
ASHGA5P001002	0.937	2.728
ASHGA5P001004	-0.818	2.109
ASHGA5P001007	-0.557	1.528
ASHGA5P001008	0.479	2.486
ASHGA5P001009	0.445	2.128
ASHGA5P001010	1.14	2.192
ASHGA5P001012	0.703	2.129
ASHGA5P001013	-1.85	5.349
ASHGA5P001014	-0.787	3.726
ASHGA5P001015	-3.275	5.527
ASHGA5P001017	-3.533	6.073
ASHGA5P001019	-0.557	2.38
ASHGA5P001020	1.075	3.168
ASHGA5P001022	1.726	2.874
ASHGA5P001027	0.784	2.651
ASHGA5P001028	0.719	3.354
ASHGA5P001031	-2.522	3.453
ASHGA5P001032	-0.949	2.505
ASHGA5P001033	-2.43	5.817
ASHGA5P001034	1.395	2.81
ASHGA5P001035	-0.905	1.964
ASHGA5P001036	-3.424	3.141
ASHGA5P001038	-1.501	1.985
ASHGA5P001039	-1.75	5.483
ASHGA5P001040	2.161	4.179
ASHGA5P001041	-1.597	3.26
ASHGA5P001043	-3.918	5.902
ASHGA5P001044	1.194	4.184
ASHGA5P001045	-1.863	5.35
ASHGA5P001046	-0.886	2.921
ASHGA5P001048	1.481	3.907
ASHGA5P001049	-2.007	1.686
ASHGA5P001050	-3.308	5.368
ASHGA5P001051	1.908	4.694
ASHGA5P001052	1.706	5.326
ASHGA5P001054	-1.361	3.886
ASHGA5P001055	1.531	4.107
ASHGA5P001058	0.459	2.426
ASHGA5P001059	2.467	4.445
ASHGA5P001060	1.071	4.017
ASHGA5P001061	-0.47	2.65
ASHGA5P001064	1.698	5.307
ASHGA5P001065	1.678	4.855
ASHGA5P001067	-1.245	3.608
ASHGA5P001068	-1.676	3.719
ASHGA5P001069	0.621	2.042
ASHGA5P001070	-5.21	6.702
ASHGA5P001071	-2.343	3.779
ASHGA5P001072	1.047	4.145
ASHGA5P001073	-0.563	2.895
ASHGA5P001075	1.095	3.998
ASHGA5P001080	-1.155	1.661
ASHGA5P001081	1.007	2.53
ASHGA5P001082	1.12	4.542
ASHGA5P001084	-4.6	6.478
ASHGA5P001086	-6.943	7.068
ASHGA5P001087	-8.121	4.457
ASHGA5P001088	0.938	3.486
ASHGA5P001090	-1.912	3.515
ASHGA5P001091	-2.108	5.785
ASHGA5P001092	-3.579	6.25
ASHGA5P001095	-2.574	4.699
ASHGA5P001096	-0.889	3.521
ASHGA5P001097	-1.31	1.643
ASHGA5P001098	-4.431	3.69
ASHGA5P001099	-0.453	1.962
ASHGA5P001100	-0.633	3.193
ASHGA5P001101	-1.223	3.65
ASHGA5P001102	4.794	7.815
ASHGA5P001103	0.411	2.443
ASHGA5P001107	-0.347	1.528
ASHGA5P001108	-2.822	5.113
ASHGA5P001111	-1.097	3.726
ASHGA5P001112	-2.936	3.921
ASHGA5P001113	-3.024	6.069
ASHGA5P001114	-3.434	2.761
ASHGA5P001116	-2.357	4.642
ASHGA5P001119	-2.624	5.298
ASHGA5P001120	-1.079	4.538
ASHGA5P001121	1.482	2.679
ASHGA5P001123	0.378	1.677
ASHGA5P001124	-4.717	4.776
ASHGA5P001126	-1.646	4.783
ASHGA5P001128	1.407	3.825
ASHGA5P001129	-1.065	4.01
ASHGA5P001130	1.194	4.226
ASHGA5P001131	-3.206	7.271
ASHGA5P001133	-1.26	2.882
ASHGA5P001136	-1.33	2.986
ASHGA5P001137	1.107	2.753
ASHGA5P001138	0.971	4.159
ASHGA5P001139	1.784	4.01
ASHGA5P001140	1.576	5
ASHGA5P001143	0.797	2.314
ASHGA5P001144	1.366	4.19
ASHGA5P001145	-1.224	3.129
ASHGA5P001146	-0.345	1.928
ASHGA5P001148	1.122	3.629
ASHGA5P001149	-0.837	4.061
ASHGA5P001150	1.326	4.082
ASHGA5P001152	-4.87	4.018
ASHGA5P001153	-2.179	4.372
ASHGA5P001154	-0.601	2.591
ASHGA5P001155	-1.06	2.729
ASHGA5P001157	0.458	2.217
ASHGA5P001160	-3.86	3.221
ASHGA5P001162	-2.478	6.159
ASHGA5P001164	0.944	4.237
ASHGA5P001165	0.635	1.742
ASHGA5P001166	1.675	4.675
ASHGA5P001169	-1.029	3.654
ASHGA5P001170	1.347	3.616
ASHGA5P001171	-1.341	4.942
ASHGA5P001172	1.552	3.196
ASHGA5P001175	0.492	2.182
ASHGA5P001176	0.992	2.429
ASHGA5P001179	-2.004	3.976
ASHGA5P001182	0.377	1.816
ASHGA5P001184	1.083	3.531
ASHGA5P001185	-1.174	1.948
ASHGA5P001186	0.48	2.116
ASHGA5P001187	1.2	4.763
ASHGA5P001189	1.641	2.979
ASHGA5P001192	0.979	4.266
ASHGA5P001193	-2.746	6.158
ASHGA5P001194	-0.718	2.395
ASHGA5P001195	-3.07	3.13
ASHGA5P001197	-3.009	5.916
ASHGA5P001198	-1.28	4.669
ASHGA5P001200	-3.562	6.617
ASHGA5P001202	-0.334	1.952
ASHGA5P001204	-1.311	3.55
ASHGA5P001205	-4.388	6.264
ASHGA5P001207	0.88	3.88
ASHGA5P001209	-0.842	2.943
ASHGA5P001210	-3.949	5.378
ASHGA5P001211	-1.759	3.909
ASHGA5P001212	-1.678	5.154
ASHGA5P001213	-1.232	3.497
ASHGA5P001214	0.342	1.598
ASHGA5P001215	-3.075	5.411
ASHGA5P001216	-3.604	4.136
