ID	log2(fold change)	-log10(Pvalue)
ASHGA5P000377	1.024	2.437
ASHGA5P000378	-1.266	2.351
ASHGA5P000379	-1.329	1.766
ASHGA5P000380	1.036	2.423
ASHGA5P000382	0.674	2.515
ASHGA5P000385	0.703	2.521
ASHGA5P000386	-0.547	1.679
ASHGA5P000387	-0.588	1.708
ASHGA5P000389	1.03	1.841
ASHGA5P000390	1.3	4.246
ASHGA5P000397	1.249	2.02
ASHGA5P000398	1.253	1.841
ASHGA5P000399	1.312	2.27
ASHGA5P000400	-1.65	1.712
ASHGA5P000404	0.625	1.934
ASHGA5P000405	0.38	1.7
ASHGA5P000406	0.986	2.091
ASHGA5P000407	1.595	5.096
ASHGA5P000411	-1.334	2.7
ASHGA5P000412	-0.926	2.897
ASHGA5P000413	1.291	1.99
ASHGA5P000415	-1.463	3.325
ASHGA5P000417	-0.963	2.568
ASHGA5P000420	-2.103	2.035
ASHGA5P000421	1.678	4.036
ASHGA5P000424	-1.007	2.761
ASHGA5P000425	-0.857	3.452
ASHGA5P000426	0.941	2.476
ASHGA5P000428	2.55	5.589
ASHGA5P000431	1.17	2.228
ASHGA5P000433	0.36	1.609
ASHGA5P000437	-0.638	1.899
ASHGA5P000439	0.711	1.548
ASHGA5P000440	-0.44	1.995
ASHGA5P000444	1.347	1.974
ASHGA5P000446	1.473	1.632
ASHGA5P000449	0.757	2.761
ASHGA5P000450	-3.186	4.785
ASHGA5P000451	2.695	5.407
ASHGA5P000452	1.461	4.599
ASHGA5P000453	1.978	5.344
ASHGA5P000461	0.873	2.935
ASHGA5P000463	0.538	1.558
ASHGA5P000464	0.736	1.843
ASHGA5P000465	-1.317	4.667
ASHGA5P000474	-1.336	2.712
ASHGA5P000478	2.309	3.152
ASHGA5P000479	0.716	2.068
ASHGA5P000483	1.199	2.938
ASHGA5P000488	1.08	2.369
ASHGA5P000489	1.1	4.021
ASHGA5P000493	0.833	1.855
ASHGA5P000494	1.436	2.813
ASHGA5P000495	-0.513	2.413
ASHGA5P000496	-1.846	3.266
ASHGA5P000498	-0.986	2.511
ASHGA5P000500	2.185	1.74
ASHGA5P000501	0.626	2.911
ASHGA5P000506	1.163	2.116
ASHGA5P000508	1.167	2.243
ASHGA5P000509	-2.164	4.393
ASHGA5P000512	1.281	3.19
ASHGA5P000515	0.831	2.148
ASHGA5P000517	1.036	2.313
ASHGA5P000520	-0.955	3.355
ASHGA5P000524	0.711	1.685
ASHGA5P000525	1.158	3.08
ASHGA5P000527	0.533	2.088
ASHGA5P000530	4.016	4.951
ASHGA5P000531	1.17	2.271
ASHGA5P000532	-0.638	1.767
ASHGA5P000534	-1.779	3.795
ASHGA5P000535	0.755	3.086
ASHGA5P000542	1.249	4.229
ASHGA5P000543	0.799	2.674
ASHGA5P000545	0.651	2.619
ASHGA5P000547	1.675	3.276
ASHGA5P000551	0.828	1.913
ASHGA5P000556	-1.569	3.211
ASHGA5P000558	-0.797	2.889
ASHGA5P000560	1.006	2.442
ASHGA5P000564	1.152	2.675
ASHGA5P000566	1.417	4.111
ASHGA5P000568	0.5	2.212
ASHGA5P000569	-1.544	3.516
ASHGA5P000573	1.141	3.821
ASHGA5P000575	0.906	2.734
ASHGA5P000576	-0.719	1.698
ASHGA5P000578	-0.405	1.55
ASHGA5P000580	0.342	1.837
ASHGA5P000581	1.249	1.976
ASHGA5P000582	1.513	4.712
ASHGA5P000583	1.315	2.032
ASHGA5P000585	0.605	1.792
ASHGA5P000586	1.109	3.73
ASHGA5P000589	-0.906	3.238
ASHGA5P000591	1.102	2.185
ASHGA5P000593	0.406	1.95
ASHGA5P000596	1.682	4.345
ASHGA5P000597	0.839	2.356
ASHGA5P000598	0.965	3.888
ASHGA5P000599	-1.195	3.414
ASHGA5P000602	-1.759	2.548
ASHGA5P000604	-1.076	3.547
ASHGA5P000605	-1.928	5.337
ASHGA5P000607	-3.74	6.784
ASHGA5P000608	0.61	2.453
ASHGA5P000609	-1.201	4.228
ASHGA5P000610	-1.697	5.332
ASHGA5P000611	-1.618	4.099
ASHGA5P000612	-3.894	6.07
ASHGA5P000613	-1.606	4.854
ASHGA5P000614	-2.582	5.19
ASHGA5P000616	0.516	2.095
ASHGA5P000617	0.606	2.71
ASHGA5P000618	0.909	2.626
ASHGA5P000619	1.46	4.483
ASHGA5P000621	-2.699	6.503
ASHGA5P000622	-1.048	3.751
ASHGA5P000624	0.726	2.868
ASHGA5P000625	-2.525	5.911
ASHGA5P000626	-3.132	6.359
ASHGA5P000628	0.834	1.952
ASHGA5P000629	2.519	3.789
ASHGA5P000630	0.63	2.219
ASHGA5P000631	1.322	3.741
ASHGA5P000632	-1.513	4.553
ASHGA5P000633	0.854	3.278
ASHGA5P000634	-3.284	3.494
ASHGA5P000635	0.593	1.69
ASHGA5P000637	-2.973	6.79
ASHGA5P000638	-2.254	3.11
ASHGA5P000639	1.024	2.122
ASHGA5P000640	-2.042	5.825
ASHGA5P000641	-1.842	4.052
ASHGA5P000643	-2.655	6.72
ASHGA5P000644	-3.499	7.047
ASHGA5P000646	-1.158	3.702
ASHGA5P000648	-2.74	6.23
ASHGA5P000649	3.195	5.567
ASHGA5P000650	-2.478	5.164
ASHGA5P000651	0.375	1.898
ASHGA5P000653	-1.315	4.322
ASHGA5P000654	-0.935	2.968
ASHGA5P000655	-0.557	2.58
ASHGA5P000656	-1.785	5.16
ASHGA5P000657	-6.171	8.31
ASHGA5P000659	-0.595	2.098
ASHGA5P000660	-0.953	3.222
ASHGA5P000661	-0.635	1.919
ASHGA5P000662	-1.658	5.278
ASHGA5P000663	1.851	4.58
ASHGA5P000664	1.809	5.305
ASHGA5P000665	-2.325	6.23
ASHGA5P000666	-1.382	2.75
ASHGA5P000667	-3.655	5.257
ASHGA5P000668	-0.791	2.83
ASHGA5P000669	1.992	5.409
ASHGA5P000670	-0.864	2.61
ASHGA5P000672	0.528	2.122
ASHGA5P000674	-3.558	7.17
ASHGA5P000675	-1.105	2.562
ASHGA5P000677	0.486	2.084
ASHGA5P000678	-1.212	2.909
ASHGA5P000680	1.489	3.767
ASHGA5P000681	1.076	3.36
ASHGA5P000682	-0.701	1.777
ASHGA5P000683	-2.369	4.814
ASHGA5P000684	1.902	4.612
ASHGA5P000685	-1.481	4.788
ASHGA5P000686	-1.229	4.731
ASHGA5P000688	-1.122	4.197
ASHGA5P000689	-2.538	4.817
ASHGA5P000690	-1.128	3.789
ASHGA5P000691	0.867	2.349
ASHGA5P000693	0.782	3.353
ASHGA5P000696	0.836	1.604
ASHGA5P000697	-4.501	5.673
ASHGA5P000699	-0.903	3.516
ASHGA5P000700	0.797	3.372
ASHGA5P000702	-1.069	2.478
ASHGA5P000703	-3.3	4.905
ASHGA5P000704	-3.131	6.111
ASHGA5P000705	-1.802	5.373
ASHGA5P000706	1.463	3.862
ASHGA5P000711	-1.846	2.158
ASHGA5P000713	-2.16	4.655
ASHGA5P000714	-3.643	6.598
ASHGA5P000715	-3.854	6.868
ASHGA5P000716	-2.605	3.411
ASHGA5P000717	-0.533	2.036
ASHGA5P000718	0.771	3.435
ASHGA5P000722	1.483	4.126
ASHGA5P000727	-0.419	1.646
ASHGA5P000728	-0.706	2.318
ASHGA5P000729	-4.678	7.177
ASHGA5P000730	-2.25	5.36
ASHGA5P000731	0.594	2.472
ASHGA5P000732	-1.898	4.053
ASHGA5P000733	-0.88	2.995
ASHGA5P000736	-1.81	5.073
ASHGA5P000739	1.241	3
ASHGA5P000741	1.288	2.391
ASHGA5P000742	1.095	1.561
ASHGA5P000743	-2.634	6.305
ASHGA5P000744	-3.303	7.218
ASHGA5P000745	-3.176	5.32
ASHGA5P000749	2.985	5.573
ASHGA5P000750	0.636	3.024
ASHGA5P000754	-1.568	2.343
ASHGA5P000756	-6.595	6.819
ASHGA5P000759	1.22	4.051
ASHGA5P000760	0.448	1.82
ASHGA5P000761	-2.57	6.564
ASHGA5P000762	0.574	2.447
ASHGA5P000763	1.316	2.012
ASHGA5P000764	-3.52	5.48
ASHGA5P000766	1.641	5.07
ASHGA5P000767	-0.947	3.277
ASHGA5P000768	0.618	2.39
ASHGA5P000769	-3.113	4.23
ASHGA5P000770	-0.798	2.68
ASHGA5P000771	-2.62	4.511
ASHGA5P000772	0.725	2.494
ASHGA5P000773	1.279	1.714
ASHGA5P000774	0.478	1.541
ASHGA5P000776	-1.252	1.927
ASHGA5P000777	0.504	1.944
ASHGA5P000779	4.19	7.731
ASHGA5P000781	-0.611	1.813
ASHGA5P000782	-0.922	3.552
ASHGA5P000783	-0.75	2.334
ASHGA5P000785	-3.484	6.263
ASHGA5P000787	-0.444	2.28
ASHGA5P000791	-1.052	2.513
ASHGA5P000792	-0.525	2.299
ASHGA5P000793	1.236	2.091
ASHGA5P000794	-0.942	2.818
ASHGA5P000795	-3.488	3.91
ASHGA5P000796	-2.968	6.938
ASHGA5P000797	-2.412	2.224
ASHGA5P000801	0.534	2.127
ASHGA5P000803	-1.204	3.101
ASHGA5P000806	-1.497	3.736
ASHGA5P000807	-0.531	2.285
ASHGA5P000808	-1.385	2.878
ASHGA5P000809	2.335	5.23
ASHGA5P000811	-1.508	3.911
ASHGA5P000812	-1.94	3.509
ASHGA5P000813	0.604	2.548
ASHGA5P000814	-3.854	6.749
ASHGA5P000816	2.076	4.841
ASHGA5P000817	-1.611	4.48
ASHGA5P000818	-4.141	6.659
ASHGA5P000819	-1.617	5.257
ASHGA5P000820	-2.997	6.789
ASHGA5P000822	-2.769	5.884
ASHGA5P000823	1.455	3.638
ASHGA5P000824	-3.33	6.83
ASHGA5P000825	-1.084	4.095
ASHGA5P000827	0.892	3.903
ASHGA5P000828	-4.436	7.496
ASHGA5P000830	1.374	4.026
ASHGA5P000831	1.153	1.61
ASHGA5P000832	-1.519	3.585
ASHGA5P000833	1.045	3.607
ASHGA5P000834	-2.529	5.813
ASHGA5P000836	-4.113	6.217
ASHGA5P000838	-1.295	4.125
ASHGA5P000839	-1.384	3.611
ASHGA5P000840	-3.118	2.839
ASHGA5P000843	-3.837	7.118
ASHGA5P000845	-2.082	5.96
ASHGA5P000846	-2.339	5.234
ASHGA5P000849	0.458	1.582
ASHGA5P000854	-1.876	4.024
ASHGA5P000856	-4.182	4.256
ASHGA5P000858	-0.358	1.888
ASHGA5P000859	-0.79	2.879
ASHGA5P000861	-1.378	1.801
ASHGA5P000862	1.36	4.419
ASHGA5P000863	1.253	3.078
ASHGA5P000866	0.739	2.884
ASHGA5P000867	-0.723	2.654
ASHGA5P000868	-0.846	3.27
ASHGA5P000869	-1.862	4.795
ASHGA5P000870	-0.862	1.948
ASHGA5P000871	-0.662	3.104
ASHGA5P000872	0.878	2.231
ASHGA5P000873	-2.015	4.95
ASHGA5P000874	-0.581	2.678
ASHGA5P000875	4.361	5.884
ASHGA5P000876	-3.98	7.202
ASHGA5P000879	0.891	3.031
ASHGA5P000880	-1.539	4.872
ASHGA5P000883	1.237	3.955
ASHGA5P000884	1.214	3.089
ASHGA5P000886	1.881	3.138
ASHGA5P000887	3.909	7.166
ASHGA5P000888	-3.229	7.11
ASHGA5P000889	-0.608	2.11
ASHGA5P000890	-1.874	4.898
ASHGA5P000891	-1.413	4.907
ASHGA5P000892	0.619	2.595
ASHGA5P000893	-0.718	1.571
ASHGA5P000895	-1.641	3.769
ASHGA5P000896	-0.295	1.61
